time,channel_0
0.626,32784.97361003453
0.627,32785.99260591472
0.628,32784.97361003453
0.629,32785.99260591472
0.630,32788.03059767509
0.631,32789.049593555275
0.632,32788.03059767509
0.633,32787.011601794904
0.634,32787.011601794904
0.635,32785.99260591472
0.636,32788.03059767509
0.637,32787.011601794904
0.638,32785.99260591472
0.639,32785.99260591472
0.640,32789.049593555275
0.641,32787.011601794904
0.642,32788.03059767509
0.643,32789.049593555275
0.644,32787.011601794904
0.645,32783.95461415435
0.646,32788.03059767509
0.647,32785.99260591472
0.648,32785.99260591472
0.649,32785.99260591472
0.650,32783.95461415435
0.651,32787.011601794904
0.652,32784.97361003453
0.653,32784.97361003453
0.654,32789.049593555275
0.655,32784.97361003453
0.656,32790.06858943546
0.657,32790.06858943546
0.658,32787.011601794904
0.659,32788.03059767509
0.660,32785.99260591472
0.661,32785.99260591472
0.662,32788.03059767509
0.663,32788.03059767509
0.664,32785.99260591472
0.665,32787.011601794904
0.666,32784.97361003453
0.667,32785.99260591472
0.668,32787.011601794904
0.669,32789.049593555275
0.670,32787.011601794904
0.671,32785.99260591472
0.672,32789.049593555275
0.673,32788.03059767509
0.674,32788.03059767509
0.675,32785.99260591472
0.676,32785.99260591472
0.677,32785.99260591472
0.678,32788.03059767509
0.679,32788.03059767509
0.680,32788.03059767509
0.681,32785.99260591472
0.682,32787.011601794904
0.683,32788.03059767509
0.684,32788.03059767509
0.685,32789.049593555275
0.686,32784.97361003453
0.687,32784.97361003453
0.688,32787.011601794904
0.689,32787.011601794904
0.690,32787.011601794904
0.691,32788.03059767509
0.692,32788.03059767509
0.693,32788.03059767509
0.694,32784.97361003453
0.695,32787.011601794904
0.696,32784.97361003453
0.697,32788.03059767509
0.698,32785.99260591472
0.699,32784.97361003453
0.700,32785.99260591472
0.701,32785.99260591472
0.702,32788.03059767509
0.703,32785.99260591472
0.704,32784.97361003453
0.705,32784.97361003453
0.706,32785.99260591472
0.707,32788.03059767509
0.708,32788.03059767509
0.709,32784.97361003453
0.710,32788.03059767509
0.711,32784.97361003453
0.712,32785.99260591472
0.713,32785.99260591472
0.714,32785.99260591472
0.715,32785.99260591472
0.716,32785.99260591472
0.717,32784.97361003453
0.718,32785.99260591472
0.719,32785.99260591472
0.720,32785.99260591472
0.721,32784.97361003453
0.722,32785.99260591472
0.723,32788.03059767509
0.724,32785.99260591472
0.725,32787.011601794904
0.726,32787.011601794904
0.727,32787.011601794904
0.728,32788.03059767509
0.729,32784.97361003453
0.730,32785.99260591472
0.731,32785.99260591472
0.732,32788.03059767509
0.733,32787.011601794904
