time,raw_value,voltage_calc,voltage_default
0.214,32822.67645760138,0.0083,32788.7199
0.215,32822.67645760138,0.0083,32788.7199
0.216,32822.67645760138,0.0083,32788.7199
0.217,32824.71444936175,0.0087,32790.7966
0.218,32822.67645760138,0.0083,32788.7199
0.219,32823.69545348157,0.0085,32789.7583
0.220,32822.67645760138,0.0083,32788.7199
0.221,32823.69545348157,0.0085,32789.7583
0.222,32822.67645760138,0.0083,32788.7199
0.223,32824.71444936175,0.0087,32790.7966
0.224,32822.67645760138,0.0083,32788.7199
0.225,32822.67645760138,0.0083,32788.7199
0.226,32822.67645760138,0.0083,32788.7199
0.227,32822.67645760138,0.0083,32788.7199
0.228,32822.67645760138,0.0083,32788.7199
0.229,32821.657461721195,0.0082,32787.6816
0.230,32824.71444936175,0.0087,32790.7966
0.231,32823.69545348157,0.0085,32789.7583
0.232,32821.657461721195,0.0082,32787.6816
0.233,32823.69545348157,0.0085,32789.7583
0.234,32822.67645760138,0.0083,32788.7199
0.235,32823.69545348157,0.0085,32789.7583
0.236,32823.69545348157,0.0085,32789.7583
0.237,32821.657461721195,0.0082,32787.6816
0.238,32821.657461721195,0.0082,32787.6816
0.239,32821.657461721195,0.0082,32787.6816
0.240,32823.69545348157,0.0085,32789.7583
0.241,32822.67645760138,0.0083,32788.7199
0.242,32822.67645760138,0.0083,32788.7199
0.243,32821.657461721195,0.0082,32787.6816
0.244,32821.657461721195,0.0082,32787.6816
0.245,32823.69545348157,0.0085,32789.7583
0.246,32823.69545348157,0.0085,32789.7583
0.247,32822.67645760138,0.0083,32788.7199
0.248,32821.657461721195,0.0082,32787.6816
0.249,32823.69545348157,0.0085,32789.7583
0.250,32822.67645760138,0.0083,32788.7199
0.251,32823.69545348157,0.0085,32789.7583
0.252,32822.67645760138,0.0083,32788.7199
0.253,32821.657461721195,0.0082,32787.6816
0.254,32823.69545348157,0.0085,32789.7583
0.255,32822.67645760138,0.0083,32788.7199
0.256,32822.67645760138,0.0083,32788.7199
0.257,32823.69545348157,0.0085,32789.7583
0.258,32821.657461721195,0.0082,32787.6816
0.259,32821.657461721195,0.0082,32787.6816
0.260,32822.67645760138,0.0083,32788.7199
0.261,32823.69545348157,0.0085,32789.7583
0.262,32823.69545348157,0.0085,32789.7583
0.263,32823.69545348157,0.0085,32789.7583
0.264,32823.69545348157,0.0085,32789.7583
0.265,32821.657461721195,0.0082,32787.6816
0.266,32822.67645760138,0.0083,32788.7199
0.267,32823.69545348157,0.0085,32789.7583
0.268,32822.67645760138,0.0083,32788.7199
0.269,32823.69545348157,0.0085,32789.7583
0.270,32821.657461721195,0.0082,32787.6816
0.271,32823.69545348157,0.0085,32789.7583
0.272,32822.67645760138,0.0083,32788.7199
0.273,32823.69545348157,0.0085,32789.7583
0.274,32821.657461721195,0.0082,32787.6816
0.275,32822.67645760138,0.0083,32788.7199
0.276,32822.67645760138,0.0083,32788.7199
0.277,32822.67645760138,0.0083,32788.7199
0.278,32822.67645760138,0.0083,32788.7199
0.279,32824.71444936175,0.0087,32790.7966
0.280,32820.63846584101,0.0080,32786.6432
0.281,32820.63846584101,0.0080,32786.6432
0.282,32823.69545348157,0.0085,32789.7583
0.283,32824.71444936175,0.0087,32790.7966
0.284,32820.63846584101,0.0080,32786.6432
0.285,32823.69545348157,0.0085,32789.7583
0.286,32820.63846584101,0.0080,32786.6432
0.287,32822.67645760138,0.0083,32788.7199
0.288,32823.69545348157,0.0085,32789.7583
0.289,32823.69545348157,0.0085,32789.7583
0.290,32823.69545348157,0.0085,32789.7583
0.291,32821.657461721195,0.0082,32787.6816
0.292,32820.63846584101,0.0080,32786.6432
0.293,32822.67645760138,0.0083,32788.7199
0.294,32823.69545348157,0.0085,32789.7583
0.295,32822.67645760138,0.0083,32788.7199
0.296,32822.67645760138,0.0083,32788.7199
0.297,32824.71444936175,0.0087,32790.7966
0.298,32823.69545348157,0.0085,32789.7583
0.299,32824.71444936175,0.0087,32790.7966
0.300,32823.69545348157,0.0085,32789.7583
0.301,32822.67645760138,0.0083,32788.7199
0.302,32822.67645760138,0.0083,32788.7199
0.303,32822.67645760138,0.0083,32788.7199
0.304,32821.657461721195,0.0082,32787.6816
0.305,32822.67645760138,0.0083,32788.7199
0.306,32824.71444936175,0.0087,32790.7966
0.307,32822.67645760138,0.0083,32788.7199
0.308,32823.69545348157,0.0085,32789.7583
0.309,32823.69545348157,0.0085,32789.7583
0.310,32822.67645760138,0.0083,32788.7199
0.311,32822.67645760138,0.0083,32788.7199
0.312,32823.69545348157,0.0085,32789.7583
0.313,32823.69545348157,0.0085,32789.7583
0.314,32821.657461721195,0.0082,32787.6816
0.315,32823.69545348157,0.0085,32789.7583
0.316,32822.67645760138,0.0083,32788.7199
0.317,32821.657461721195,0.0082,32787.6816
0.318,32822.67645760138,0.0083,32788.7199
0.319,32820.63846584101,0.0080,32786.6432
0.320,32821.657461721195,0.0082,32787.6816
0.321,32823.69545348157,0.0085,32789.7583
0.322,32823.69545348157,0.0085,32789.7583
0.323,32822.67645760138,0.0083,32788.7199
0.324,32823.69545348157,0.0085,32789.7583
0.325,32821.657461721195,0.0082,32787.6816
0.326,32821.657461721195,0.0082,32787.6816
0.327,32823.69545348157,0.0085,32789.7583
0.328,32821.657461721195,0.0082,32787.6816
0.329,32822.67645760138,0.0083,32788.7199
0.330,32824.71444936175,0.0087,32790.7966
0.331,32820.63846584101,0.0080,32786.6432
0.332,32823.69545348157,0.0085,32789.7583
0.333,32822.67645760138,0.0083,32788.7199
0.334,32822.67645760138,0.0083,32788.7199
0.335,32821.657461721195,0.0082,32787.6816
0.336,32822.67645760138,0.0083,32788.7199
0.337,32822.67645760138,0.0083,32788.7199
0.338,32822.67645760138,0.0083,32788.7199
0.339,32820.63846584101,0.0080,32786.6432
0.340,32822.67645760138,0.0083,32788.7199
0.341,32822.67645760138,0.0083,32788.7199
0.342,32820.63846584101,0.0080,32786.6432
0.343,32823.69545348157,0.0085,32789.7583
0.344,32821.657461721195,0.0082,32787.6816
0.345,32824.71444936175,0.0087,32790.7966
0.346,32823.69545348157,0.0085,32789.7583
0.347,32824.71444936175,0.0087,32790.7966
0.348,32822.67645760138,0.0083,32788.7199
0.349,32820.63846584101,0.0080,32786.6432
0.350,32823.69545348157,0.0085,32789.7583
0.351,32823.69545348157,0.0085,32789.7583
0.352,32823.69545348157,0.0085,32789.7583
0.353,32822.67645760138,0.0083,32788.7199
0.354,32820.63846584101,0.0080,32786.6432
0.355,32823.69545348157,0.0085,32789.7583
0.356,32820.63846584101,0.0080,32786.6432
0.357,32821.657461721195,0.0082,32787.6816
0.358,32823.69545348157,0.0085,32789.7583
0.359,32822.67645760138,0.0083,32788.7199
0.360,32822.67645760138,0.0083,32788.7199
0.361,32820.63846584101,0.0080,32786.6432
0.362,32822.67645760138,0.0083,32788.7199
0.363,32822.67645760138,0.0083,32788.7199
0.364,32822.67645760138,0.0083,32788.7199
0.365,32822.67645760138,0.0083,32788.7199
0.366,32821.657461721195,0.0082,32787.6816
0.367,32824.71444936175,0.0087,32790.7966
0.368,32820.63846584101,0.0080,32786.6432
0.369,32822.67645760138,0.0083,32788.7199
0.370,32822.67645760138,0.0083,32788.7199
0.371,32822.67645760138,0.0083,32788.7199
0.372,32823.69545348157,0.0085,32789.7583
0.373,32822.67645760138,0.0083,32788.7199
