time,CH0_raw,CH1_raw,CH2_raw,CH3_raw,CH4_raw,CH5_raw
0.072,31700.76199351767,31803.680577416355,31829.155474420983,32829.80942876267,31440.918044070488,31903.54217367449
0.073,31802.661581536173,31831.19346618135,31823.041499139872,32806.37252351842,31359.398373655684,31796.547606255062
0.074,31771.072709250435,31819.984511499315,31811.832544457837,32797.20156059675,31318.638538448286,31746.616808125993
0.075,31609.052364301016,31705.856972918595,31716.046931720444,32706.510927260286,31286.030670282362,31739.4838369647
0.076,31629.432281904716,31678.3440841536,31670.192117112118,32658.618120891595,31205.529995747747,31652.869187148972
0.077,31442.956035830855,31527.532693886213,31532.62767328714,32535.319619389207,31129.10530473387,31588.672446697317
0.078,31428.690093508267,31477.601895757147,31460.278965794,32447.68597369329,31029.243708475737,31485.75386279863
0.079,31273.802719720145,31393.02523770179,31424.614109987528,32431.382039610333,31062.870572521842,31536.70365680788
0.08,31259.536777397552,31367.550340697166,31408.310175904568,32416.097101407555,31096.497436567948,31585.61545905676
0.081,31359.398373655684,31424.614109987528,31457.221978153448,32463.989907776253,31106.687395369798,31575.42550025491
0.082,31331.88548489069,31440.918044070488,31494.924825720293,32509.84472238458,31193.302045185526,31676.306092393228
0.083,31592.748430218056,31607.014372540645,31611.090356061388,32596.459372200305,31173.94112346201,31612.10935194157
0.084,31496.962817480664,31614.14734370194,31663.05914595082,32658.618120891595,31279.91669500125,31739.4838369647
0.085,31658.983162430082,31703.818981158223,31731.33186992322,32715.681890181957,31285.01167440218,31727.25588640248
0.086,31612.10935194157,31707.894964678962,31752.730783407103,32748.289758347877,31344.11343545291,31793.490618614505
0.087,31654.907178909343,31754.768775167475,31818.965515619133,32822.67645760138,31433.78507290919,31898.44719427356
0.088,31634.52726130564,31765.97772984951,31862.78233846709,32881.778218652114,31560.140562052136,32051.296576301316
0.089,31964.68192648559,31944.30200888189,31938.188033600778,32916.424078578406,31479.63988751752,31918.827111877265
0.09,31732.350865803404,31856.668363185978,31906.599161315044,32907.25311565674,31548.9316073701,32017.66971225521
0.091,31984.042848209105,31970.7959017667,31944.30200888189,32918.46207033878,31446.013023471412,31864.820330227456
0.092,31747.63580400618,31855.649367305792,31883.162256070787,32871.588259850265,31458.240974033633,31907.61815719523
0.093,31622.299310743423,31736.426849324143,31781.262668052284,32796.18256471657,31446.013023471412,31925.96008303856
0.094,31646.75521186786,31709.932956439334,31727.25588640248,32734.023816025285,31376.72130361883,31847.497400264314
0.095,31678.3440841536,31712.989944079887,31697.705005877113,32686.131009656587,31290.106653803105,31744.578816365625
0.096,31858.70635494635,31823.041499139872,31736.426849324143,32683.07402201603,31155.59919761868,31543.836627969176
0.097,31540.77964032862,31643.698224227308,31631.470273665087,32598.497363960676,31120.95333769239,31547.912611489915
0.098,31540.77964032862,31587.65345081713,31559.12156617195,32534.30062350902,31020.072745554073,31437.86105642993
0.099,31380.797287139572,31494.924825720293,31514.28574744381,32511.88271414495,31046.566638438882,31490.848842199553
0.1,31397.101221222532,31486.772858678814,31518.36173096455,32520.03468118643,31059.81358488129,31507.152776282514
0.101,31312.524563167175,31436.84206054975,31502.05779688159,32523.091668826986,31135.21928001498,31605.99537666046
0.102,31526.51369800603,31567.27353321343,31594.786421978424,32590.345396919198,31137.25727177535,31581.53947553602
0.103,31501.038801001403,31597.84340961898,31647.774207748047,32648.428162089745,31228.966900992004,31679.36308003378
0.104,31609.052364301016,31675.287096513042,31716.046931720444,32716.700886062135,31271.764727959773,31716.046931720444
0.105,31647.774207748047,31720.122915241183,31755.78777104766,32750.32775010824,31301.31560848514,31741.52182872507
0.106,31706.87596879878,31775.148692771174,31804.69957329654,32792.10658119583,31332.904480770874,31772.09170513062
0.107,31596.824413738796,31745.59781224581,31838.326437342646,32849.170350486194,31476.582899876965,31957.548955324295
