time,CH0_raw,CH1_raw,CH2_raw
0.145,32639.007335635266,32545.185454993705,32676.740048501983
0.146,32827.67089996884,32722.631185772312,32858.26499148239
0.147,33022.45328260513,32916.393765358145,33061.20579852229
0.148,33328.39419774065,33248.849559805414,33485.44386751022
0.149,33822.998677209755,33746.513448425874,34082.0286520245
0.15,34207.464427230065,34068.77121236863,34332.90020243563
0.151,34352.27646039421,34177.89013876697,34313.52394447705
0.152,34359.41508174738,34190.127775372384,34246.216943147236
0.153,34276.81103466079,34114.66234963896,34116.70195573986
0.154,34110.58313743715,33950.47405851622,33901.52351209454
0.155,33909.68193649816,33763.850100283555,33694.50349285283
0.156,33719.99856911413,33582.32515730314,33510.938943771514
0.157,33521.136974276036,33388.562577717305,33311.05754588298
0.158,33210.09704388825,33044.88894971507,32865.40361283556
0.159,32717.532170520055,32552.32407634687,32277.997055775348
0.16,32334.08622355019,32234.14552460592,32037.32353586873
0.161,32195.393008688756,32134.204825661647,32076.0760517859
0.162,32208.650448344626,32137.264234813003,32151.541477519328
0.163,32305.531738137543,32223.947494101405,32281.056464926703
0.164,32463.601210957568,32382.016966921423,32494.19530247112
0.165,32656.343987492946,32558.442894649575,32685.91827595605
0.166,32843.98774877607,32736.908428478637,32871.52243113827
0.167,33034.690919210545,32929.651205014015,33079.56225343043
0.168,33342.671440446975,33262.10699946129,33494.62209496429
0.169,33820.95907110885,33748.553054526776,34091.20687947857
0.17,34222.761472986844,34076.92963677224,34333.920005486085
0.171,34358.395278696924,34185.02876012013,34313.52394447705
0.172,34360.43488479783,34194.206987574194,34259.474382803106
0.173,34276.81103466079,34112.62274353806,34115.682152689405
0.174,34120.78116794167,33958.63248291984,33906.6225273468
0.175,33914.780951750414,33768.94911553581,33702.661917256446
0.176,33717.958963013225,33581.30535425269,33510.938943771514
0.177,33522.15677732649,33390.60218381821,33310.03774283252
0.178,33211.116846938705,33048.96816191687,32877.64124944098
0.179,32728.750004075024,32555.38348549822,32273.917843573538
0.18,32330.00701134839,32232.105918505018,32041.402748070537
0.181,32191.313796486946,32132.165219560746,32071.99683958409
0.182,32218.84847884914,32144.40285616617,32159.69990192294
0.183,32300.432722885285,32220.88808495005,32284.11587407806
0.184,32469.72002926028,32386.096179123233,32499.294317723376
0.185,32661.443002745204,32564.561712952287,32695.096503410117
0.186,32842.96794572562,32737.928231529084,32870.502628087816
0.187,33035.710722261,32930.67100806447,33080.582056480875
0.188,33349.81006180014,33267.20601471355,33505.83992851926
0.189,33848.49375347105,33768.94911553581,34098.34550083173
0.19,34224.801079087745,34087.127667276756,34347.177445141955
0.191,34374.71212750416,34197.26639672555,34320.662565830215
0.192,34364.514096999636,34200.325805876906,34260.49418585356
0.193,34290.06847431666,34124.86038014347,34122.82077404257
0.194,34111.6029404876,33951.493861566676,33904.58292124589
0.195,33929.05819445674,33778.12734298988,33708.78073555916
0.196,33722.03817521503,33586.40436950495,33509.91914072107
0.197,33535.41421698236,33403.85962347408,33321.25557638749
0.198,33213.156453039606,33053.04737411868,32878.66105249143
0.199,32709.373746116435,32542.12604584235,32259.640600867213
0.2,32335.106026600646,32231.086115454564,32027.125505364213
0.201,32199.47222089056,32139.303840913904,32082.194870088606
0.202,32219.868281899595,32147.462265317525,32158.680098872494
0.203,32316.74957169251,32237.204933757275,32299.41291983483
0.204,32476.858650613438,32396.294209627747,32515.6111665306
0.205,32667.561821047915,32570.680531255,32703.25492781373
