time,CH0_raw,CH1_raw,CH2_raw
0.077,32789.049593555275,32768.669675951576,32783.95461415435
0.078,32789.049593555275,32767.65068007139,32783.95461415435
0.079,32789.049593555275,32767.65068007139,32783.95461415435
0.08,32789.049593555275,32766.631684191205,32784.97361003453
0.081,32789.049593555275,32765.61268831102,32780.8976265138
0.082,32791.08758531565,32766.631684191205,32781.91662239398
0.083,32791.08758531565,32767.65068007139,32782.93561827417
0.084,32788.03059767509,32767.65068007139,32783.95461415435
0.085,32789.049593555275,32767.65068007139,32781.91662239398
0.086,32789.049593555275,32768.669675951576,32782.93561827417
0.087,32790.06858943546,32769.68867183176,32781.91662239398
0.088,32790.06858943546,32767.65068007139,32781.91662239398
0.089,32789.049593555275,32768.669675951576,32780.8976265138
0.09,32788.03059767509,32767.65068007139,32780.8976265138
0.091,32788.03059767509,32766.631684191205,32781.91662239398
0.092,32789.049593555275,32767.65068007139,32780.8976265138
0.093,32788.03059767509,32767.65068007139,32782.93561827417
0.094,32788.03059767509,32767.65068007139,32782.93561827417
0.095,32790.06858943546,32768.669675951576,32785.99260591472
0.096,32787.011601794904,32770.70766771195,32782.93561827417
0.097,32789.049593555275,32767.65068007139,32781.91662239398
0.098,32788.03059767509,32767.65068007139,32783.95461415435
0.099,32790.06858943546,32767.65068007139,32780.8976265138
0.1,32788.03059767509,32767.65068007139,32784.97361003453
0.101,32788.03059767509,32767.65068007139,32782.93561827417
0.102,32788.03059767509,32766.631684191205,32783.95461415435
0.103,32788.03059767509,32768.669675951576,32785.99260591472
0.104,32788.03059767509,32769.68867183176,32780.8976265138
0.105,32789.049593555275,32765.61268831102,32780.8976265138
0.106,32787.011601794904,32767.65068007139,32782.93561827417
0.107,32787.011601794904,32768.669675951576,32782.93561827417
0.108,32789.049593555275,32767.65068007139,32781.91662239398
0.109,32789.049593555275,32769.68867183176,32784.97361003453
0.11,32789.049593555275,32768.669675951576,32783.95461415435
0.111,32789.049593555275,32767.65068007139,32779.87863063361
0.112,32788.03059767509,32766.631684191205,32779.87863063361
0.113,32789.049593555275,32767.65068007139,32785.99260591472
0.114,32788.03059767509,32768.669675951576,32782.93561827417
0.115,32788.03059767509,32767.65068007139,32783.95461415435
0.116,32790.06858943546,32765.61268831102,32783.95461415435
0.117,32788.03059767509,32768.669675951576,32779.87863063361
0.118,32788.03059767509,32770.70766771195,32782.93561827417
0.119,32789.049593555275,32767.65068007139,32779.87863063361
0.12,32789.049593555275,32766.631684191205,32783.95461415435
0.121,32787.011601794904,32767.65068007139,32785.99260591472
0.122,32787.011601794904,32767.65068007139,32785.99260591472
0.123,32788.03059767509,32767.65068007139,32783.95461415435
0.124,32788.03059767509,32768.669675951576,32783.95461415435
0.125,32789.049593555275,32768.669675951576,32780.8976265138
0.126,32788.03059767509,32767.65068007139,32783.95461415435
0.127,32788.03059767509,32766.631684191205,32784.97361003453
0.128,32787.011601794904,32766.631684191205,32783.95461415435
0.129,32788.03059767509,32767.65068007139,32785.99260591472
0.13,32788.03059767509,32767.65068007139,32782.93561827417
0.131,32788.03059767509,32768.669675951576,32781.91662239398
0.132,32788.03059767509,32767.65068007139,32781.91662239398
0.133,32788.03059767509,32766.631684191205,32780.8976265138
0.134,32788.03059767509,32766.631684191205,32784.97361003453
0.135,32785.99260591472,32767.65068007139,32783.95461415435
0.136,32788.03059767509,32768.669675951576,32785.99260591472
0.137,32788.03059767509,32765.61268831102,32783.95461415435
0.138,32788.03059767509,32767.65068007139,32782.93561827417
0.139,32788.03059767509,32768.669675951576,32785.99260591472
0.14,32789.049593555275,32769.68867183176,32783.95461415435
0.141,32788.03059767509,32770.70766771195,32781.91662239398
0.142,32788.03059767509,32770.70766771195,32780.8976265138
0.143,32788.03059767509,32768.669675951576,32780.8976265138
0.144,32787.011601794904,32770.70766771195,32782.93561827417
0.145,32788.03059767509,32767.65068007139,32784.97361003453
0.146,32789.049593555275,32768.669675951576,32783.95461415435
0.147,32789.049593555275,32768.669675951576,32784.97361003453
0.148,32789.049593555275,32766.631684191205,32781.91662239398
0.149,32788.03059767509,32768.669675951576,32783.95461415435
0.15,32788.03059767509,32768.669675951576,32783.95461415435
0.151,32788.03059767509,32767.65068007139,32780.8976265138
0.152,32789.049593555275,32772.74565947231,32783.95461415435
0.153,32789.049593555275,32767.65068007139,32781.91662239398
0.154,32789.049593555275,32770.70766771195,32780.8976265138
0.155,32789.049593555275,32768.669675951576,32780.8976265138
0.156,32788.03059767509,32765.61268831102,32782.93561827417
0.157,32787.011601794904,32769.68867183176,32782.93561827417
0.158,32788.03059767509,32768.669675951576,32781.91662239398
0.159,32789.049593555275,32769.68867183176,32781.91662239398
0.16,32788.03059767509,32767.65068007139,32781.91662239398
0.161,32789.049593555275,32767.65068007139,32783.95461415435
0.162,32789.049593555275,32767.65068007139,32781.91662239398
0.163,32788.03059767509,32767.65068007139,32785.99260591472
0.164,32789.049593555275,32768.669675951576,32782.93561827417
0.165,32789.049593555275,32767.65068007139,32783.95461415435
0.166,32789.049593555275,32768.669675951576,32782.93561827417
0.167,32789.049593555275,32768.669675951576,32780.8976265138
0.168,32787.011601794904,32769.68867183176,32783.95461415435
0.169,32785.99260591472,32768.669675951576,32782.93561827417
0.17,32788.03059767509,32768.669675951576,32781.91662239398
0.171,32790.06858943546,32767.65068007139,32781.91662239398
0.172,32790.06858943546,32766.631684191205,32781.91662239398
0.173,32788.03059767509,32767.65068007139,32783.95461415435
0.174,32789.049593555275,32766.631684191205,32782.93561827417
0.175,32787.011601794904,32768.669675951576,32787.011601794904
0.176,32789.049593555275,32766.631684191205,32782.93561827417
0.177,32791.08758531565,32767.65068007139,32781.91662239398
0.178,32788.03059767509,32768.669675951576,32784.97361003453
0.179,32790.06858943546,32768.669675951576,32783.95461415435
0.18,32789.049593555275,32769.68867183176,32781.91662239398
0.181,32789.049593555275,32769.68867183176,32783.95461415435
0.182,32789.049593555275,32769.68867183176,32781.91662239398
0.183,32788.03059767509,32768.669675951576,32781.91662239398
0.184,32789.049593555275,32769.68867183176,32782.93561827417
