time,CH0_raw
0.228,32780.8976265138
0.229,32781.91662239398
0.23,32782.93561827417
0.231,32777.84063887324
0.232,32779.87863063361
0.233,32782.93561827417
0.234,32779.87863063361
0.235,32778.859634753426
0.236,32780.8976265138
0.237,32782.93561827417
0.238,32779.87863063361
0.239,32778.859634753426
0.24,32780.8976265138
0.241,32781.91662239398
0.242,32779.87863063361
0.243,32781.91662239398
0.244,32780.8976265138
0.245,32778.859634753426
0.246,32779.87863063361
0.247,32780.8976265138
0.248,32781.91662239398
0.249,32778.859634753426
0.25,32781.91662239398
0.251,32780.8976265138
0.252,32778.859634753426
0.253,32778.859634753426
0.254,32783.95461415435
0.255,32778.859634753426
0.256,32780.8976265138
0.257,32779.87863063361
0.258,32780.8976265138
0.259,32778.859634753426
0.26,32780.8976265138
0.261,32781.91662239398
0.262,32781.91662239398
0.263,32780.8976265138
0.264,32777.84063887324
0.265,32779.87863063361
0.266,32781.91662239398
0.267,32781.91662239398
0.268,32780.8976265138
0.269,32776.821642993054
0.27,32781.91662239398
0.271,32780.8976265138
0.272,32779.87863063361
0.273,32778.859634753426
0.274,32779.87863063361
0.275,32778.859634753426
0.276,32779.87863063361
0.277,32779.87863063361
0.278,32779.87863063361
0.279,32781.91662239398
0.28,32778.859634753426
0.281,32780.8976265138
0.282,32781.91662239398
0.283,32779.87863063361
0.284,32781.91662239398
0.285,32782.93561827417
0.286,32779.87863063361
0.287,32778.859634753426
0.288,32781.91662239398
0.289,32779.87863063361
0.29,32776.821642993054
0.291,32779.87863063361
0.292,32778.859634753426
0.293,32781.91662239398
0.294,32777.84063887324
0.295,32779.87863063361
0.296,32779.87863063361
0.297,32778.859634753426
0.298,32777.84063887324
0.299,32778.859634753426
0.3,32781.91662239398
0.301,32783.95461415435
0.302,32780.8976265138
0.303,32780.8976265138
0.304,32780.8976265138
0.305,32779.87863063361
0.306,32781.91662239398
0.307,32778.859634753426
0.308,32778.859634753426
0.309,32777.84063887324
0.31,32778.859634753426
0.311,32781.91662239398
0.312,32781.91662239398
0.313,32779.87863063361
0.314,32779.87863063361
0.315,32781.91662239398
