time,CH0_hat1,CH1_hat1,CH2_hat1,CH0_hat2,CH1_hat2,CH2_hat2
0.1620,31643,31531,31546,33488,33366,33367
0.1630,31644,31528,31545,33438,33315,33319
0.1640,31639,31524,31543,33394,33280,33292
0.1650,31647,31533,31553,33377,33265,33286
0.1660,31653,31541,31575,33375,33267,33305
0.1670,31670,31554,31588,33418,33310,33360
0.1680,31685,31566,31604,33468,33365,33434
0.1690,31705,31587,31628,33528,33424,33494
0.1700,31719,31596,31637,33609,33505,33589
0.1710,31731,31610,31652,33699,33589,33671
0.1720,31748,31621,31662,33752,33643,33727
0.1730,31754,31629,31664,33829,33712,33788
0.1740,31772,31646,31675,33866,33747,33807
0.1750,31755,31634,31654,33877,33754,33815
0.1760,31734,31620,31638,33892,33759,33798
0.1770,31718,31599,31615,33837,33709,33740
0.1780,31712,31593,31602,33775,33650,33671
0.1790,31688,31573,31588,33737,33605,33609
0.1800,31677,31560,31565,33641,33511,33509
0.1810,31663,31547,31548,33575,33445,33440
0.1820,31653,31544,31556,33502,33384,33383
0.1830,31638,31524,31540,33445,33323,33320
0.1840,31647,31529,31555,33395,33283,33302
0.1850,31644,31528,31556,33382,33268,33293
0.1860,31658,31541,31579,33384,33273,33306
0.1870,31673,31555,31585,33422,33319,33376
0.1880,31684,31568,31615,33461,33360,33427
0.1890,31714,31591,31627,33545,33435,33502
0.1900,31728,31603,31648,33609,33511,33593
0.1910,31729,31608,31650,33705,33594,33680
0.1920,31750,31623,31669,33768,33654,33730
0.1930,31756,31633,31664,33817,33710,33790
0.1940,31754,31631,31665,33870,33750,33814
0.1950,31752,31632,31652,33878,33760,33824
0.1960,31736,31619,31640,33884,33758,33798
0.1970,31735,31617,31627,33854,33722,33744
0.1980,31712,31596,31605,33790,33663,33683
0.1990,31691,31574,31583,33740,33605,33608
0.2000,31677,31565,31568,33655,33523,33523
0.2010,31665,31556,31563,33570,33442,33438
0.2020,31647,31533,31543,33502,33383,33381
0.2030,31647,31534,31549,33452,33328,33336
0.2040,31639,31527,31546,33396,33282,33297
0.2050,31652,31535,31570,33386,33272,33291
0.2060,31660,31543,31574,33380,33274,33313
0.2070,31679,31558,31593,33420,33318,33380
0.2080,31689,31572,31604,33474,33367,33431
0.2090,31707,31591,31637,33544,33441,33507
0.2100,31731,31605,31641,33615,33513,33602
0.2110,31750,31631,31669,33714,33602,33680
0.2120,31758,31635,31670,33766,33654,33735
0.2130,31758,31639,31672,33822,33712,33795
0.2140,31756,31636,31672,33872,33752,33813
0.2150,31757,31634,31652,33889,33768,33833
0.2160,31744,31629,31646,33882,33757,33802
0.2170,31727,31611,31624,33856,33722,33745
0.2180,31716,31598,31612,33793,33669,33686
0.2190,31697,31583,31588,33746,33612,33625
0.2200,31675,31564,31576,33662,33529,33529
0.2210,31669,31553,31557,33573,33447,33443
0.2220,31649,31537,31559,33496,33377,33378
0.2230,31642,31528,31541,33452,33329,33335
0.2240,31645,31529,31549,33406,33289,33304
0.2250,31645,31532,31564,33397,33282,33299
0.2260,31663,31549,31579,33382,33274,33316
0.2270,31673,31558,31599,33426,33326,33382
0.2280,31693,31574,31615,33483,33381,33443
0.2290,31716,31592,31637,33541,33436,33510
0.2300,31728,31605,31647,33620,33515,33594
0.2310,31741,31622,31669,33703,33598,33683
0.2320,31751,31625,31665,33770,33657,33736
0.2330,31765,31643,31679,33828,33716,33793
0.2340,31757,31639,31667,33865,33747,33812
0.2350,31748,31632,31649,33891,33766,33830
0.2360,31747,31632,31655,33890,33761,33810
0.2370,31729,31612,31622,33852,33717,33740
0.2380,31718,31595,31614,33803,33675,33691
0.2390,31695,31578,31586,33746,33611,33613
0.2400,31677,31563,31576,33663,33530,33522
0.2410,31670,31556,31559,33567,33442,33441
0.2420,31645,31535,31549,33509,33387,33391
0.2430,31645,31532,31547,33441,33319,33328
0.2440,31644,31529,31550,33409,33292,33303
0.2450,31667,31549,31575,33386,33277,33298
0.2460,31661,31543,31572,33391,33283,33322
0.2470,31675,31562,31595,33432,33329,33382
0.2480,31693,31572,31618,33478,33375,33441
0.2490,31714,31590,31629,33536,33436,33515
0.2500,31722,31604,31645,33622,33521,33603
0.2510,31735,31614,31655,33692,33589,33679
0.2520,31745,31623,31666,33778,33657,33730
0.2530,31769,31641,31681,33830,33718,33800
0.2540,31759,31637,31670,33871,33751,33820
0.2550,31752,31633,31646,33898,33776,33824
0.2560,31747,31632,31649,33888,33764,33811
0.2570,31731,31612,31627,33853,33721,33747
0.2580,31716,31596,31612,33800,33675,33694
0.2590,31694,31578,31584,33741,33611,33618
0.2600,31682,31567,31576,33661,33529,33525
0.2610,31664,31551,31563,33575,33448,33451
0.2620,31651,31538,31561,33516,33394,33395
0.2630,31648,31534,31550,33446,33326,33333
0.2640,31647,31532,31553,33414,33295,33309
0.2650,31652,31535,31571,33378,33271,33301
0.2660,31663,31548,31584,33391,33280,33319
0.2670,31678,31559,31589,33431,33329,33379
0.2680,31687,31573,31618,33481,33377,33445
0.2690,31712,31592,31639,33545,33440,33511
0.2700,31729,31607,31652,33627,33526,33611
0.2710,31744,31618,31657,33703,33599,33683
0.2720,31765,31641,31683,33770,33658,33735
0.2730,31757,31639,31672,33831,33717,33793
0.2740,31760,31638,31671,33869,33751,33819
0.2750,31755,31636,31665,33887,33768,33829
0.2760,31747,31628,31642,33889,33762,33808
0.2770,31732,31618,31634,33850,33718,33750
0.2780,31711,31596,31604,33808,33679,33696
0.2790,31695,31579,31591,33745,33613,33615
0.2800,31687,31571,31583,33657,33526,33523
0.2810,31668,31553,31558,33576,33451,33448
0.2820,31655,31543,31557,33511,33390,33391
0.2830,31650,31538,31551,33453,33328,33328
0.2840,31647,31533,31556,33408,33294,33304
0.2850,31652,31536,31571,33389,33278,33305
0.2860,31668,31547,31581,33381,33276,33319
0.2870,31679,31559,31589,33428,33322,33377
0.2880,31704,31586,31629,33476,33373,33442
0.2890,31708,31592,31632,33540,33437,33507
0.2900,31727,31607,31653,33616,33516,33600
0.2910,31744,31624,31665,33700,33593,33682
0.2920,31754,31634,31671,33766,33654,33728
0.2930,31758,31638,31674,33830,33714,33794
0.2940,31760,31644,31672,33864,33748,33814
0.2950,31753,31634,31657,33898,33775,33834
0.2960,31756,31641,31652,33893,33763,33807
0.2970,31728,31613,31628,33864,33731,33757
0.2980,31716,31596,31604,33798,33674,33691
0.2990,31698,31585,31597,33738,33610,33625
0.3000,31686,31571,31577,33659,33527,33521
0.3010,31668,31553,31561,33575,33450,33447
0.3020,31657,31545,31560,33513,33392,33389
0.3030,31656,31537,31554,33451,33330,33332
0.3040,31660,31545,31562,33408,33295,33310
0.3050,31644,31532,31569,33401,33285,33305
0.3060,31666,31550,31584,33388,33283,33322
0.3070,31680,31562,31597,33433,33330,33383
0.3080,31689,31573,31612,33478,33373,33436
0.3090,31708,31590,31634,33542,33438,33513
0.3100,31724,31607,31643,33631,33526,33607
0.3110,31740,31620,31665,33706,33599,33690
0.3120,31757,31638,31677,33776,33662,33744
0.3130,31764,31641,31678,33837,33728,33803
0.3140,31766,31644,31671,33880,33759,33824
0.3150,31764,31640,31671,33892,33773,33829
0.3160,31745,31626,31642,33890,33765,33806
0.3170,31730,31614,31633,33856,33724,33749
0.3180,31717,31601,31611,33805,33675,33692
0.3190,31698,31583,31590,33743,33613,33622
0.3200,31679,31565,31576,33665,33531,33525
0.3210,31669,31556,31571,33584,33459,33460
0.3220,31656,31541,31550,33511,33392,33392
0.3230,31654,31540,31556,33457,33335,33340
0.3240,31648,31531,31556,33413,33297,33313
