time,CH0_hat1,CH1_hat1,CH2_hat1,CH3_hat1,CH4_hat1,CH5_hat1,CH0_hat2,CH1_hat2,CH2_hat2,CH3_hat2,CH4_hat2,CH5_hat2
0.0900,32173,32254,32368,33363,32054,32536,33493,33601,33869,34926,33586,34044
0.0910,32159,32261,32354,33365,32113,32611,33590,33663,33802,34862,33560,34030
0.0920,32282,32329,32363,33344,32085,32580,33502,33606,33692,34757,33525,34022
0.0930,32553,32507,32453,33395,31979,32407,33503,33558,33562,34604,33374,33868
0.0940,32424,32479,32449,33394,31958,32388,33365,33416,33358,34392,33150,33633
0.0950,32229,32340,32355,33329,31971,32439,33111,33200,33146,34178,32964,33460
0.0960,32169,32255,32262,33243,31916,32403,32893,32995,32950,33981,32789,33299
0.0970,31977,32109,32143,33137,31911,32441,32781,32852,32781,33805,32602,33097
0.0980,32080,32123,32111,33094,31846,32359,32402,32457,32281,33321,32179,32681
0.0990,32030,32054,31971,32942,31682,32179,31928,31973,31702,32753,31658,32172
0.1000,31860,31924,31840,32810,31580,32092,31675,31752,31563,32588,31429,31927
0.1010,31851,31898,31833,32790,31501,31990,31649,31754,31696,32693,31430,31899
0.1020,31646,31787,31809,32793,31563,32079,31605,31744,31777,32797,31521,31987
0.1030,31780,31840,31853,32831,31562,32058,31614,31780,31889,32930,31682,32166
0.1040,31941,31968,31956,32910,31559,32022,31850,31973,32103,33143,31868,32339
0.1050,31726,31881,31950,32945,31680,32176,31967,32118,32283,33334,32081,32567
0.1060,31950,31995,32029,33007,31685,32158,32132,32275,32447,33495,32264,32762
0.1070,32031,32080,32104,33077,31709,32171,32296,32441,32625,33675,32471,32977
0.1080,31985,32085,32138,33120,31783,32256,32784,32900,33148,34167,32840,33309
0.1090,32300,32321,32370,33327,31862,32286,33264,33405,33742,34763,33348,33783
0.1100,32243,32370,32489,33470,32029,32468,33352,33535,33836,34895,33623,34121
0.1110,32384,32439,32517,33499,32053,32491,33503,33586,33739,34807,33602,34109
0.1120,32317,32411,32469,33453,32072,32539,33516,33593,33674,34725,33536,34049
0.1130,32460,32484,32486,33449,32015,32461,33399,33484,33507,34556,33403,33923
0.1140,32393,32452,32448,33414,31977,32427,33299,33353,33307,34342,33185,33697
0.1150,32258,32352,32361,33345,31960,32429,33056,33144,33091,34123,32991,33517
0.1160,32321,32356,32330,33304,31882,32342,32960,33016,32943,33964,32785,33286
0.1170,32264,32321,32289,33258,31827,32281,32769,32843,32769,33791,32600,33093
0.1180,32175,32248,32227,33200,31788,32251,32280,32377,32219,33277,32209,32743
0.1190,32031,32105,32050,33022,31679,32162,31919,31942,31667,32710,31662,32188
0.1200,31897,31964,31896,32871,31559,32056,31564,31674,31501,32534,31458,31982
0.1210,31916,31964,31898,32856,31488,31963,31577,31681,31630,32635,31455,31949
0.1220,31884,31958,31941,32906,31509,31972,31613,31733,31748,32756,31531,32009
0.1230,31898,31971,31972,32937,31525,31978,31662,31811,31903,32925,31687,32173
