time,CH0_hat1,CH1_hat1,CH2_hat1,CH0_hat2,CH1_hat2,CH2_hat2
0.066,32099.189382670014,31965.700922365773,31975.890881167627,34241.11792789497,34081.00884897405,34026.95928730011
0.067,32059.448543342798,31923.92209127819,31917.80811599708,34041.236530006434,33895.40469379183,33825.038283310656
0.068,32007.47975345336,31877.048280789677,31866.858321987827,33851.553162622404,33717.958963013225,33647.592552532056
0.069,31963.662930605406,31839.345433222832,31823.041499139872,33663.90940133928,33527.25579257875,33452.81016989577
0.07,31920.865103637632,31793.490618614505,31774.129696890992,33312.077348933424,33139.73063340708,32936.78982636718
0.071,31821.0035073795,31672.23010887249,31594.786421978424,32804.21542980845,32644.106350887523,32361.620905912387
0.072,31694.64801823656,31561.15955793232,31485.75386279863,32440.145740797176,32347.343663206062,32167.858326326554
0.073,31617.204331342495,31511.228759803253,31476.582899876965,32340.205041852903,32284.11587407806,32242.303949009533
0.074,31596.824413738796,31494.924825720293,31492.886833959925,32374.878345568264,32297.37331373393,32319.808980843867
0.075,31614.14734370194,31504.09578864196,31525.494702125845,32475.838847562984,32397.314012678202,32468.700226209825
0.076,31640.64123658675,31533.646669167323,31568.292529093615,32651.24497224069,32568.640925154097,32693.05689730921
0.077,31678.3440841536,31572.368512614354,31615.166339582127,32847.04715792742,32749.14606508406,32884.77987079414
0.078,31727.25588640248,31622.299310743423,31673.249104752675,33036.730525311454,32930.67100806447,33067.324616825004
0.079,31778.20568041173,31663.05914595082,31711.970948199705,33232.53271099819,33132.592012053916,33284.54266657123
0.08,31824.060495020058,31714.008939960073,31773.110701010806,33585.38456645449,33515.018155973325,33785.26596434304
0.081,31923.92209127819,31837.30744146246,31963.662930605406,34096.305894730824,34012.682044593785,34362.474490898734
0.082,32060.467539222984,31945.321004762074,32065.56251862391,34458.335977641196,34308.42492922479,34562.35588878728
0.083,32131.79725083593,31997.28979465151,32076.771473305944,34569.49451014044,34394.08838546274,34517.4845545674
0.084,32154.2151602,32015.631720494843,32063.524526863537,34581.73214674586,34412.44484037087,34466.49440204481
