time,CH0_hat1,CH0_hat2
1.0230,32472,34265
1.0240,32487,34325
1.0250,32492,34309
1.0260,32493,34278
1.0270,32486,34227
1.0280,32478,34176
1.0290,32468,34123
1.0300,32455,34073
1.0310,32449,33927
1.0320,32404,33690
1.0330,32349,33512
1.0340,32323,33446
1.0350,32314,33466
1.0360,32317,33500
1.0370,32324,33552
1.0380,32334,33601
1.0390,32347,33649
1.0400,32355,33701
1.0410,32369,33851
1.0420,32417,34092
1.0430,32468,34265
1.0440,32494,34333
1.0450,32504,34318
1.0460,32499,34285
1.0470,32494,34226
1.0480,32486,34179
1.0490,32474,34124
1.0500,32462,34074
1.0510,32449,33917
1.0520,32401,33680
1.0530,32349,33503
1.0540,32322,33443
1.0550,32317,33466
1.0560,32321,33501
1.0570,32331,33552
1.0580,32340,33600
1.0590,32347,33649
1.0600,32355,33699
1.0610,32371,33850
1.0620,32416,34091
1.0630,32468,34262
1.0640,32495,34320
1.0650,32505,34311
1.0660,32504,34280
1.0670,32492,34227
1.0680,32492,34175
1.0690,32474,34125
1.0700,32462,34073
1.0710,32450,33917
1.0720,32400,33676
1.0730,32346,33500
1.0740,32321,33445
1.0750,32319,33469
1.0760,32317,33501
1.0770,32329,33555
1.0780,32336,33597
1.0790,32345,33648
1.0800,32355,33701
1.0810,32369,33862
1.0820,32418,34097
1.0830,32471,34267
1.0840,32493,34327
1.0850,32503,34310
1.0860,32504,34275
1.0870,32495,34225
1.0880,32483,34172
1.0890,32473,34118
1.0900,32461,34069
1.0910,32450,33905
1.0920,32402,33663
1.0930,32349,33499
1.0940,32316,33443
1.0950,32315,33466
1.0960,32322,33501
1.0970,32329,33548
1.0980,32331,33600
1.0990,32345,33652
1.1000,32353,33701
1.1010,32369,33867
1.1020,32417,34102
1.1030,32472,34270
1.1040,32493,34326
1.1050,32499,34314
1.1060,32500,34280
1.1070,32490,34223
1.1080,32481,34176
1.1090,32469,34125
1.1100,32462,34072
1.1110,32446,33904
1.1120,32396,33667
1.1130,32348,33501
1.1140,32324,33444
1.1150,32315,33468
1.1160,32318,33502
1.1170,32330,33553
1.1180,32340,33603
1.1190,32350,33654
1.1200,32356,33704
1.1210,32373,33872
1.1220,32430,34104
1.1230,32496,34267
1.1240,32539,34320
1.1250,32499,34308
1.1260,32504,34280
1.1270,32494,34224
1.1280,32492,34165
1.1290,32483,34120
1.1300,32463,34064
1.1310,32450,33900
1.1320,32397,33658
1.1330,32346,33493
1.1340,32319,33442
1.1350,32317,33467
1.1360,32324,33507
1.1370,32330,33560
1.1380,32343,33603
1.1390,32349,33651
1.1400,32362,33703
1.1410,32374,33875
1.1420,32425,34112
1.1430,32478,34273
1.1440,32503,34323
1.1450,32508,34312
1.1460,32505,34274
1.1470,32496,34221
1.1480,32495,34169
1.1490,32482,34118
1.1500,32470,34068
1.1510,32451,33891
1.1520,32398,33653
1.1530,32346,33494
1.1540,32322,33445
1.1550,32322,33469
1.1560,32325,33505
1.1570,32335,33555
1.1580,32343,33603
1.1590,32355,33655
1.1600,32366,33707
1.1610,32378,33886
1.1620,32430,34120
1.1630,32478,34273
1.1640,32504,34322
1.1650,32510,34308
1.1660,32507,34276
1.1670,32498,34217
1.1680,32487,34172
1.1690,32479,34120
1.1700,32463,34062
1.1710,32454,33884
1.1720,32400,33647
1.1730,32345,33489
1.1740,32328,33447
1.1750,32336,33466
1.1760,32323,33509
1.1770,32333,33556
1.1780,32341,33597
1.1790,32349,33653
1.1800,32365,33709
1.1810,32374,33887
1.1820,32432,34122
1.1830,32476,34277
1.1840,32502,34318
1.1850,32507,34310
1.1860,32504,34271
1.1870,32496,34219
1.1880,32484,34173
1.1890,32478,34118
1.1900,32466,34065
1.1910,32451,33880
1.1920,32397,33640
1.1930,32346,33486
1.1940,32324,33448
1.1950,32321,33471
1.1960,32326,33512
1.1970,32335,33560
1.1980,32343,33605
1.1990,32348,33657
1.2000,32361,33709
1.2010,32373,33893
1.2020,32432,34129
1.2030,32479,34279
1.2040,32503,34321
1.2050,32501,34312
1.2060,32504,34270
1.2070,32494,34221
1.2080,32485,34169
1.2090,32476,34116
1.2100,32461,34062
1.2110,32449,33879
1.2120,32394,33639
1.2130,32344,33483
1.2140,32330,33447
1.2150,32321,33472
1.2160,32319,33509
1.2170,32335,33551
1.2180,32337,33605
1.2190,32346,33658
1.2200,32358,33711
1.2210,32373,33899
1.2220,32426,34136
1.2230,32474,34282
1.2240,32496,34320
1.2250,32498,34309
1.2260,32502,34248
1.2270,32503,34207
1.2280,32505,34167
1.2290,32474,34114
1.2300,32460,34052
1.2310,32450,33870
1.2320,32385,33633
1.2330,32339,33480
1.2340,32322,33445
1.2350,32311,33467
1.2360,32314,33509
1.2370,32325,33557
1.2380,32337,33606
1.2390,32346,33657
1.2400,32360,33711
1.2410,32372,33905
1.2420,32426,34142
1.2430,32474,34284
1.2440,32497,34322
1.2450,32517,34309
1.2460,32513,34260
1.2470,32490,34211
1.2480,32489,34167
1.2490,32471,34109
1.2500,32455,34059
1.2510,32439,33863
1.2520,32382,33629
1.2530,32334,33478
1.2540,32313,33444
1.2550,32313,33470
1.2560,32314,33512
1.2570,32322,33557
1.2580,32335,33605
1.2590,32345,33659
1.2600,32354,33713
1.2610,32373,33908
1.2620,32428,34146
1.2630,32476,34284
1.2640,32498,34321
1.2650,32499,34309
1.2660,32502,34266
1.2670,32488,34215
